origin,dest,count
3167,1062,15
3167,1875,1
3170,1069,49
3177,1081,40
3179,1525,14
3184,2982,21
3186,2971,39
3188,1104,59
3188,1453,50
3192,2315,55
3195,1117,36
3196,1118,31
3203,1133,59
3204,2802,28
3205,1136,37
3206,2346,14
3207,1139,56
3208,1150,36
3208,1742,39
3210,2334,44
3210,3476,41
3212,1193,46
3215,1153,32
3215,1292,60
3215,2123,39
3218,2302,37
3220,2088,25
3222,1162,14
3225,1165,24
3228,1519,74
3230,2256,25
3232,987,47
3232,1179,26
3232,1654,119
3234,1181,22
3235,2197,31
3236,1183,47
3240,397,4
3240,1191,44
3241,1664,31
3242,1193,43
3243,1195,50
3246,1203,40
3247,2256,49
3256,1802,15
3256,2088,31
3256,2802,106
3259,1231,31
3259,1948,27
3264,2069,66
3265,449,11
3265,1343,57
3265,2016,34
3271,1246,68
3272,1252,32
3273,3476,75
3275,49,239
3275,967,43
3275,1019,48
3275,1213,53
3275,1234,38
3275,1259,33
3275,1939,22
3275,2111,43
3277,1264,14
3277,1557,14
3279,3552,58
3280,1268,49
3291,1911,27
3292,1337,21
3296,2259,35
3296,2269,9
3296,2346,38
3299,1411,14
3299,1565,1
3299,2214,17
3305,1313,46
3309,1543,25
3309,1777,27
3309,2344,41
3310,1460,38
3311,2228,21
3313,262,161
3313,1827,17
3313,2293,3
3316,539,2
3316,2197,37
3317,1795,42
3318,978,32
3318,1076,23
3318,1156,18
3318,1688,44
3331,1304,22
3331,1355,28
3331,1780,113
3331,1854,14
3331,2287,3
3332,1802,2
3332,1875,25
3332,2256,45
3334,59,6
3334,1364,22
3334,1466,27
3335,2275,26
3336,1616,34
3337,2327,34
3340,1378,1
3340,2078,1
3340,2164,1
3340,2766,39
3340,2827,40
3341,1379,12
3344,1426,17
3351,2241,5
3351,2463,20
3353,98,1
3353,197,3
3353,335,1
3353,674,1
3353,862,3
3353,1452,2
3353,1599,6
3353,1875,1
3353,2164,91
3353,2228,61
3353,2339,102
3354,2395,32
3360,1411,23
3365,1418,61
3369,39,1
3369,695,3
3369,1053,55
3369,1252,60
3369,2024,52
3372,992,54
3372,1428,56
3373,1283,33
3373,1418,47
3373,1420,35
3373,2003,42
3375,2016,35
3376,2071,13
3377,352,22
3377,1054,77
3377,1079,61
3377,1342,62
3377,2107,65
3377,3373,47
3386,1448,50
3387,1452,1
3388,1453,13
3388,1826,24
3391,1458,19
3400,1788,48
3400,2275,32
3410,1544,20
3410,2088,17
3411,1504,17
3411,1514,14
3411,2088,156
3412,1061,17
3412,1503,32
3412,1802,13
3412,1854,16
3412,2088,22
3414,1691,51
3415,1520,29
3416,1521,54
3418,1524,30
3420,1780,22
3420,2164,16
3422,1531,17
3422,2328,1
3424,1537,36
3425,3698,22
3430,1543,16
3430,3337,27
3430,3756,24
3434,1549,21
3441,1599,14
3441,2164,113
3441,2397,2
3445,1324,2
3445,2413,3
3451,1960,47
3455,533,15
3455,668,33
3455,2596,6
3457,1962,72
3457,2287,2
3457,2302,1
3457,2799,21
3459,941,59
3459,1586,46
3462,1426,14
3462,1587,21
3462,1591,34
3462,1890,16
3464,2113,32
3465,1875,20
3466,1596,50
3467,1914,66
3467,2042,6
3467,2137,33
3471,1635,25
3471,1875,1
3475,1614,90
3475,3475,29
3476,957,4
3476,993,75
3476,1257,46
3476,1578,2
3476,1736,20
3476,2039,52
3476,2164,12
3476,3210,41
3476,3476,14
3477,1544,8
3477,1706,10
3484,1987,38
3487,1632,44
3488,1822,28
3488,2349,22
3490,1635,19
3490,2287,16
3492,1431,45
3492,1787,18
3494,1641,15
3495,1643,20
3497,413,51
3497,1237,82
3497,1646,38
3497,1987,45
3497,3497,81
3502,1235,15
3502,1557,17
3502,1592,19
3502,2088,18
3502,2197,19
3502,2289,134
3502,2484,1
3502,2980,35
3503,1654,31
3506,1661,119
3506,2344,19
3506,3337,41
3507,1988,32
3508,2249,28
3508,2289,38
3509,1664,28
3513,1669,21
3514,1438,7
3514,1670,55
3515,1742,23
3516,1840,29
3516,2004,51
3517,209,3
3517,1599,32
3517,2230,1
3517,2302,24
3517,2686,45
3519,1685,46
3520,1352,39
3520,2299,27
3521,1689,44
3522,2167,13
3525,1693,24
3526,1694,55
3527,3658,25
3536,1551,32
3536,1691,55
3536,1716,37
3538,2082,47
3544,649,6
3544,1728,17
3546,1759,13
3550,1739,29
3551,862,2
3551,1429,46
3551,1661,18
3551,2210,38
3551,2321,70
3552,952,58
3552,1501,40
3552,1744,32
3552,2115,5
3557,1749,47
3558,1166,14
3558,1476,43
3558,2321,17
3558,2799,5
3562,1559,2
3562,1918,16
3562,2236,23
3563,2156,41
3564,1762,19
3568,1836,22
3568,2912,23
3568,3032,8
3576,902,20
3576,1352,3
3576,1543,25
3576,1559,13
3576,1634,24
3576,1707,13
3576,1806,12
3576,2188,33
3576,2272,25
3576,2289,18
3576,3753,20
3577,416,5
3577,1786,45
3578,1787,45
3580,1790,20
3581,466,5
3581,1297,59
3581,1661,1
3581,1791,7
3581,2077,45
3581,2188,2
3581,2256,73
3584,1865,36
3585,1795,61
3588,1585,30
3588,1798,29
3589,1073,2
3589,1717,13
3589,1799,25
3589,2164,13
3589,2312,50
3590,914,41
3590,979,49
3590,1072,46
3590,1313,44
3590,1349,23
3590,1800,17
3591,1802,13
3591,2311,40
3592,1803,30
3595,1745,7
3595,1769,156
3595,2749,89
3599,1252,6
3599,1836,18
3599,2338,4
3602,1503,14
3602,1638,15
3602,2218,1
3602,2276,20
3602,2280,13
3602,2299,26
3602,2463,15
3603,1994,39
3604,862,32
3604,1446,14
3604,1599,85
3604,2293,3
3604,2310,24
3604,2320,4
3604,2339,113
3604,2446,14
3606,1644,28
3606,1824,20
3608,1033,50
3608,1826,13
3609,450,1
3609,1827,24
3610,1923,144
3610,2087,26
3611,959,58
3611,1353,57
3611,1831,28
3613,1835,18
3614,1836,17
3614,2164,80
3615,1786,55
3615,1837,34
3616,1838,39
3616,1846,66
3616,3616,21
3623,1857,16
3623,2071,73
3624,1719,39
3624,2452,52
3624,2735,18
3626,1893,32
3627,1582,24
3627,1630,17
3627,1804,18
3627,2230,20
3627,2346,16
3628,1978,14
3630,1867,17
3630,2150,43
3631,25,1
3631,1869,5
3631,2039,61
3631,3476,1
3631,3756,1
3632,1871,27
3633,1978,37
3634,1874,29
3634,3996,58
3636,1876,13
3639,1880,33
3640,695,4
3640,1836,31
3640,2164,1
3640,2167,25
3640,2217,25
3640,2321,34
3642,1571,29
3642,1884,19
3642,3788,24
3643,2346,18
3644,1514,16
3644,1822,20
3644,1824,69
3644,1852,4
3644,1890,17
3644,2457,25
3646,1078,22
3646,1892,19
3647,880,55
3647,1894,45
3648,430,37
3648,1898,10
3648,3145,46
3648,3476,46
3650,1509,37
3650,1900,35
3651,2139,13
3653,1904,38
3656,1907,15
3658,874,17
3658,940,53
3658,1214,40
3658,1449,25
3658,1888,8
3658,1909,10
3658,3658,206
3659,1328,31
3659,1426,156
3659,1473,17
3659,1503,22
3659,1601,1
3659,1638,30
3659,1706,24
3659,1868,35
3659,1907,18
3659,1911,10
3659,2264,26
3660,1447,26
3660,2088,10
3661,161,3
3661,313,70
3661,402,140
3661,761,2
3661,1913,74
3661,3917,6
3661,4004,65
3662,3467,65
3662,3698,19
3663,574,1
3663,1918,16
3663,1930,27
3663,2147,66
3664,1919,29
3666,1921,62
3671,431,31
3671,713,2
3671,906,55
3671,1802,26
3671,1816,27
3671,1930,11
3671,3032,13
3671,3471,2
3672,1931,41
3673,1933,57
3674,2012,21
3675,1938,30
3677,1150,39
3677,1252,39
3677,1654,42
3677,1935,43
3677,1943,22
3678,1442,9
3678,1945,50
3679,1874,51
3679,1908,36
3679,1920,7
3679,1947,3
3680,1948,30
3682,1843,14
3682,1952,19
3683,1962,21
3683,2167,12
3683,2321,14
3684,1955,18
3685,1481,45
3685,1522,53
3685,1855,54
3685,1958,46
3686,1900,39
3686,1959,35
3689,1963,41
3691,1969,21
3693,1972,22
3694,1974,18
3695,948,31
3695,1976,11
3696,964,64
3696,1021,48
3696,1977,7
3698,925,47
3698,939,61
3698,961,66
3698,1067,43
3698,1107,27
3698,1376,38
3698,1534,26
3698,1773,21
3698,1841,22
3698,1914,19
3698,1980,25
3698,2042,19
3699,1983,22
3700,1984,21
3701,1735,22
3701,1796,17
3701,1986,17
3703,1989,29
3705,1988,6
3705,1991,32
3708,828,37
3708,1999,21
3710,1978,28
3710,2002,37
3711,2005,59
3712,1990,55
3712,2006,20
3713,1292,52
3713,1395,34
3713,1456,38
3713,2169,10
3713,2218,12
3713,2288,24
3714,2010,16
3718,2019,4
3719,1875,4
3719,2269,43
3719,2321,23
3719,2340,11
3720,2387,19
3721,1607,54
3721,2310,13
3724,2032,35
3725,2395,41
3725,3354,23
3726,1126,44
3726,1857,73
3726,2071,9
3727,1082,37
3727,1865,14
3727,2208,6
3729,569,38
3729,823,1
3729,2037,14
3730,2027,68
3730,2395,11
3731,1567,18
3731,2041,26
3732,1851,49
3732,2043,13
3733,2045,9
3735,90,3
3735,894,68
3735,1780,28
3735,2049,1
3735,3476,20
3738,2056,47
3739,2057,10
3739,2508,21
3740,2058,5
