origin,dest,count
3228,1072,15
3233,1308,12
3234,906,37
3234,1642,27
3241,691,44
3241,953,14
3241,1425,3
3241,1442,21
3241,1450,4
3241,1483,143
3241,1595,28
3241,1633,85
3248,506,6
3248,1106,20
3249,691,2
3249,949,46
3249,1070,18
3249,1347,38
3249,1451,70
3254,1123,13
3255,1114,7
3255,1122,178
3255,2686,244
3258,1117,4
3258,1481,22
3259,819,14
3259,929,55
3259,1451,14
3259,2733,5
3263,1014,2
3263,1223,16
3263,1372,23
3265,1128,19
3268,713,20
3268,906,3
3268,1007,25
3268,1014,13
3268,1061,24
3268,1087,13
3268,1146,12
3268,1325,33
3268,1408,26
3268,1428,16
3268,3361,20
3273,343,5
3273,871,64
3273,1070,1
3273,1325,2
3273,1393,73
3273,1835,7
3273,2403,29
3276,781,2
3276,1142,25
3276,1260,13
3276,1445,50
3276,1635,13
3281,1149,13
3281,1441,24
3285,1165,18
3285,1472,4
3285,1872,6
3290,327,1
3290,1161,24
3291,1175,14
3293,1165,17
3293,1635,30
3296,1098,39
3296,1607,52
3296,2674,18
3305,1479,16
3306,972,107
3306,990,15
3306,1117,20
3306,1185,17
3306,1279,4
3306,1613,50
3310,1288,12
3311,1192,15
3315,1263,21
3315,1308,12
3315,1451,14
3316,1169,14
3316,1204,16
3318,186,3
3318,1435,24
3318,1469,1
3318,1633,22
3318,2636,11
3321,830,28
3321,1210,11
3322,1144,15
3322,1212,4
3322,1257,19
3326,1246,20
3326,1268,5
3327,872,44
3327,924,34
3327,958,35
3327,1307,10
3327,1422,19
3327,1638,11
3330,435,1
3330,1223,12
3330,1293,66
3330,1636,27
3331,1178,4
3331,1404,44
3331,1451,23
3331,1475,11
3332,1812,9
3333,1038,54
3333,1442,9
3336,1335,26
3338,784,41
3338,1175,14
3338,1344,5
3339,430,48
3339,656,1
3339,1233,14
3340,1026,24
3340,1049,16
3340,1150,18
3340,1469,20
3340,1479,16
3343,872,60
3343,1239,5
3343,1282,34
3344,1240,10
3345,1178,1
3345,1242,8
3346,314,31
3346,564,2
3346,679,110
3346,1149,26
3346,1156,22
3346,1636,7
3346,2952,13
3346,3196,2
3349,1149,15
3349,1268,35
3349,2732,120
3351,1165,22
3351,2835,20
3351,2952,8
3356,1246,8
3356,1256,8
3357,2714,44
3358,186,1
3358,374,2
3358,429,3
3358,1137,1
3358,1173,27
3358,1261,1
3358,1264,140
3358,1640,13
3359,954,27
3359,1268,10
3361,514,23
3361,1264,1
3361,1308,19
3361,3361,75
3363,946,156
3363,969,17
3363,985,22
3363,1036,1
3363,1177,34
3363,1192,18
3363,1248,6
3363,1254,21
3363,1256,22
3363,1266,10
3363,1399,26
3364,479,1
3364,1132,24
3364,1176,20
3364,1268,4
3365,1268,5
3366,982,22
3366,1123,14
3366,1187,12
3366,1272,5
3366,1282,32
3366,1344,26
3366,1347,43
3366,1419,26
3368,1354,27
3368,1368,2
3368,1425,13
3368,1451,44
3374,1500,14
3375,1542,1
3376,186,3
3376,563,37
3376,970,24
3376,1106,1
3376,1288,1
3376,1366,32
3376,1379,10
3376,1607,2
3376,1635,53
3376,2019,2
3380,1293,1
3380,1636,57
3381,1210,13
3381,1435,1
3381,1594,2
3381,1595,13
3381,1621,5
3381,2019,7
3386,1447,1
3388,1642,2
3390,480,2
3390,1308,37
3391,1325,3
3393,1311,2
3393,2193,4
3393,3393,29
3396,1332,21
3396,1393,8
3397,870,38
3397,1315,2
3398,2903,37
3398,3594,1
3399,1472,2
3401,1320,7
3403,563,13
3403,1379,6
3404,1307,14
3404,1325,2
3406,1450,4
3406,2906,38
3409,837,39
3409,1036,32
3409,1176,12
3409,1292,4
3409,1460,21
3409,3480,3
3410,1332,3
3410,1635,217
